_id,stockTicker,stockName,currentPrice,marketCap,sector
47,ADMS,"Adamas Pharmaceuticals, Inc.",38.44,875620147.2,Health Care
48,ADMP,Adamis Pharmaceuticals Corporation,3.6,120193135.2,Health Care
49,ADAP,Adaptimmune Therapeutics plc,8.75,511340935,Health Care
50,ADUS,Addus HomeCare Corporation,37,430371383,Health Care
51,AEY,"ADDvantage Technologies Group, Inc.",1.52,15543512.4,Consumer Services
52,IOTS,Adesto Technologies Corporation,6.25,132118625,Technology
53,ADMA,ADMA Biologics Inc,3.78,171296971.02,Health Care
54,ADBE,Adobe Systems Incorporated,199.38,98010927112.02,Technology
55,ADOM,"ADOMANI, Inc.",1.75,125540794.75,Capital Goods
56,ADTN,"ADTRAN, Inc.",16.2,780023374.2,Public Utilities
57,ADRO,"Aduro Biotech, Inc.",6.25,483147906.25,Health Care
58,AAAP,Advanced Accelerator Applications S.A.,81,3418580619,Health Care
59,ADES,"Advanced Emissions Solutions, Inc.",7.79,164286971.3,Basic Industries
60,AEIS,"Advanced Energy Industries, Inc.",72.82,2887845678.3,Capital Goods
61,AMD,"Advanced Micro Devices, Inc.",13.25,12783581489.75,Technology
62,ADXS,"Advaxis, Inc.",2.93,121020684.84,Health Care
63,ADXSW,"Advaxis, Inc.",0.7,0,Health Care
64,ADVM,"Adverum Biotechnologies, Inc.",7.7,346819303.6,Health Care
65,ACT,AdvisorShares Vice ETF,26.62,15972000,n/a
66,AEGN,Aegion Corp,25.12,817073743.52,Basic Industries
67,AGLE,"Aeglea BioTherapeutics, Inc.",7,116510261,Health Care
68,AEHR,Aehr Test Systems,2.57,56031235.09,Capital Goods
69,AMTX,"Aemetis, Inc",0.6997,13870126.5114,Basic Industries
70,AERI,"Aerie Pharmaceuticals, Inc.",57.15,2241579190.95,Health Care
71,AVAV,"AeroVironment, Inc.",52.45,1251991045.9,Capital Goods
72,AEZS,AEterna Zentaris Inc.,2.18,35840856.8,Health Care
73,AEMD,"Aethlon Medical, Inc.",1.471,22206020.357,Capital Goods
74,GNMX,"Aevi Genomic Medicine, Inc.",2.08,123411111.2,Health Care
75,AFMD,Affimed N.V.,1.85,82642023.4,Health Care
76,AGEN,Agenus Inc.,3.6,360658490.4,Health Care
77,AGRX,"Agile Therapeutics, Inc.",3.26,111447474.92,Health Care
78,AGYS,"Agilysys, Inc.",12.55,292580107.8,Technology
79,AGIO,"Agios Pharmaceuticals, Inc.",79.05,4403681195.1,Health Care
80,AGNC,AGNC Investment Corp.,18.81,7360275314.7,Consumer Services
81,AGNCB,AGNC Investment Corp.,25.62,8876051126.46,Consumer Services
82,AGNCN,AGNC Investment Corp.,25.43,0,Consumer Services
83,AGFS,"AgroFresh Solutions, Inc.",7.55,380047234.1,Finance
84,AGFSW,"AgroFresh Solutions, Inc.",0.47,0,Finance
85,ALRN,"Aileron Therapeutics, Inc.",9.25,136148779.75,Health Care
86,AIMT,"Aimmune Therapeutics, Inc.",35.95,1839331815.45,Health Care
87,AIRT,"Air T, Inc.",29.01,59261308.89,Transportation
88,ATSG,"Air Transport Services Group, Inc",24.61,1454970566.32,Transportation
89,AIRG,"Airgain, Inc.",9.7,92913758.6,Technology
90,AMCN,AirMedia Group Inc,1.19,53761521.31,Technology
91,AKAM,"Akamai Technologies, Inc.",67.56,11427891419.28,Miscellaneous
92,AKTX,Akari Therapeutics Plc,2.48,29086374.96,Health Care
93,AKCA,"Akcea Therapeutics, Inc.",21.85,1453934593.65,Health Care
94,AKBA,"Akebia Therapeutics, Inc.",14.94,706201145.82,Health Care
95,AKER,Akers Biosciences Inc,0.3637,11427654.7624,Health Care
96,AKRX,"Akorn, Inc.",32.57,4073550125.97,Health Care
97,AKTS,"Akoustis Technologies, Inc.",5.94,130734214.38,Public Utilities
98,ALRM,"Alarm.com Holdings, Inc.",38.2,1800763776.6,Technology
99,ALSK,"Alaska Communications Systems Group, Inc.",2.22,232866979.92,Public Utilities
100,ALBO,"Albireo Pharma, Inc.",34.77,388205346.27,Health Care
101,ABDC,Alcentra Capital Corp.,7.9,112537238,n/a
102,ALDR,"Alder BioPharmaceuticals, Inc.",14.2,963369776.4,Health Care
103,ALDX,"Aldeyra Therapeutics, Inc.",7.5,143382570,Health Care
104,ALXN,"Alexion Pharmaceuticals, Inc.",118.09,26382444859.96,Health Care
105,ALCO,"Alico, Inc.",26.75,220536549.75,Consumer Non-Durables
106,ALGN,"Align Technology, Inc.",255.57,20491015811.28,Health Care
107,ALIM,"Alimera Sciences, Inc.",1.2,82978012.8,Health Care
108,ALJJ,"ALJ Regional Holdings, Inc.",3.09,116249248.44,Miscellaneous
109,ALKS,Alkermes plc,58.33,8969749996.9,Health Care
110,ABTX,"Allegiance Bancshares, Inc.",40.15,529238991.6,Finance
111,ALGT,Allegiant Travel Company,166.8,2681795221.2,Transportation
112,ALNA,"Allena Pharmaceuticals, Inc.",8.23,170116190.42,Health Care
113,AHGP,"Alliance Holdings GP, L.P.",29.45,1762965350,Energy
114,AMMA,"Alliance MMA, Inc.",0.8263,10463415.4162,Consumer Services
115,ARLP,"Alliance Resource Partners, L.P.",20.9,2731718135.3,Energy
116,AHPI,"Allied Healthcare Products, Inc.",2.06,8267886.22,Health Care
117,AMOT,"Allied Motion Technologies, Inc.",34.91,330003147.79,Capital Goods
118,ALQA,"Alliqua BioMedical, Inc.",2.1,10470671.4,Health Care
119,ALLT,Allot Communications Ltd.,4.93,163253893.4,Technology
120,MDRX,"Allscripts Healthcare Solutions, Inc.",14.93,2697566001.23,Technology
121,AFAM,Almost Family Inc,57,796172067,Health Care
122,ALNY,"Alnylam Pharmaceuticals, Inc.",129.43,12835678197.16,Health Care
123,AOSL,Alpha and Omega Semiconductor Limited,16.72,399190852.72,Technology
124,GOOG,Alphabet Inc.,1167.7,811320425014.7,Technology
125,GOOGL,Alphabet Inc.,1181.59,820971226336.49,Technology
126,SMCP,AlphaMark Actively Managed Small Cap ETF,26.65,29314333.75,n/a
127,ATEC,"Alphatec Holdings, Inc.",3.24,54186019.2,Health Care
128,ALPN,"Alpine Immune Sciences, Inc.",11.51,159777733.95,Health Care
129,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,30.96,10836061.92,n/a
130,AABA,Altaba Inc.,76.01,66385466948.68,Technology
131,ALTR,Altair Engineering Inc.,27.49,1729194453.28,Technology
132,ALT,"Altimmune, Inc.",1.63,25513803.2,Health Care
133,ASPS,Altisource Portfolio Solutions S.A.,28.15,504018402.85,Consumer Services
134,AIMC,Altra Industrial Motion Corp.,51.8,1516463751.6,Capital Goods
135,AMAG,"AMAG Pharmaceuticals, Inc.",14.65,518234095.65,Health Care
136,AMRN,Amarin Corporation plc,3.8,1021517387,Health Care
137,AMRK,"A-Mark Precious Metals, Inc.",13.37,94010486.5,Basic Industries
138,AMZN,"Amazon.com, Inc.",1390,669802323250,Consumer Services
139,AMBC,"Ambac Financial Group, Inc.",16.35,739856564.1,Finance
140,AMBCW,"Ambac Financial Group, Inc.",6.68,0,Finance
141,AMBA,"Ambarella, Inc.",49.74,1656665707.92,Technology
142,AMCX,AMC Networks Inc.,52.56,3251542406.4,Consumer Services
143,DOX,Amdocs Limited,68.15,9807761657.65,Technology
144,AMDA,Amedica Corporation,3.11,9558317.54,Health Care
145,AMED,Amedisys Inc,52.36,1776925926.16,Health Care
146,UHAL,Amerco,365.19,7160568099.72,Consumer Services
147,AMRH,"Ameri Holdings, Inc.",2.4,38054997.6,Technology
148,AMRHW,"Ameri Holdings, Inc.",0.6862,0,Technology
149,ATAX,"America First Multifamily Investors, L.P.",6.25,376580800,Finance
150,AMOV,"America Movil, S.A.B. de C.V.",19.112,63124079539.592,Public Utilities
151,AAL,"American Airlines Group, Inc.",53.88,25781530053.24,Transportation
152,ACSF,"American Capital Senior Floating, Ltd.",10.8761,108762087.61,n/a
153,AETI,"American Electric Technologies, Inc.",1.449,12562322.85,Energy
154,AMNB,"American National Bankshares, Inc.",37.75,326437273.75,Finance
155,ANAT,American National Insurance Company,126.87,3416848123.08,Finance
156,AOBC,American Outdoor Brands Corporation,11.45,619607486.95,Capital Goods
157,APEI,"American Public Education, Inc.",25.35,412389084.9,Consumer Services
158,ARII,"American Railcar Industries, Inc.",39.45,752858987.1,Capital Goods
159,AMRB,American River Bankshares,15.2,93211902.4,Finance
160,AMSWA,"American Software, Inc.",12.66,381734979.72,Technology
161,AMSC,American Superconductor Corporation,5.34,111740258.28,Consumer Durables
162,AMWD,American Woodmark Corporation,137.15,2400574852,Basic Industries
163,CRMT,"America&#39;s Car-Mart, Inc.",45.2,323182757.2,Consumer Durables
164,ABCB,Ameris Bancorp,54.5,2036839672.5,Finance
165,AMSF,"AMERISAFE, Inc.",60.95,1172923201.85,Finance
166,ASRV,AmeriServ Financial Inc.,4.15,75232225.05,Finance
167,ASRVP,AmeriServ Financial Inc.,28,0,Finance
168,ATLO,Ames National Corporation,28.15,262102200.95,Finance
169,AMGN,Amgen Inc.,185.56,134699966297,Health Care
170,FOLD,"Amicus Therapeutics, Inc.",16.63,2777210000,Health Care
171,AMKR,"Amkor Technology, Inc.",10.04,2402367224.16,Technology
172,AMPH,"Amphastar Pharmaceuticals, Inc.",18.94,870780629.24,Health Care
173,IBUY,Amplify Online Retail ETF,44.61,0,n/a
174,ASYS,"Amtech Systems, Inc.",9.99,148792348.71,Technology
175,AFSI,"AmTrust Financial Services, Inc.",13.21,2589511055.75,Finance
176,AMRS,"Amyris, Inc.",4.93,212155894.5,Basic Industries
177,ADI,"Analog Devices, Inc.",91.65,34159709455.95,Technology
178,ALOG,Analogic Corporation,85.65,1069318066.65,Capital Goods
179,ANAB,"AnaptysBio, Inc.",105.5,2479005240,Health Care
180,AVXL,Anavex Life Sciences Corp.,2.69,118954040.77,Health Care
181,ANCB,Anchor Bancorp,24.8001,61874761.494,Finance
182,ANDA,Andina Acquisition Corp. II,10.31,42785788.61,Finance
183,ANDAR,Andina Acquisition Corp. II,1.3689,0,Finance
184,ANDAU,Andina Acquisition Corp. II,16.04,0,Finance
185,ANDAW,Andina Acquisition Corp. II,1.85,0,Finance
186,ANGI,ANGI Homeservices Inc.,13.41,6402064814.55,Consumer Services
187,ANGO,"AngioDynamics, Inc.",17.7,650394022.5,Health Care
188,ANIP,"ANI Pharmaceuticals, Inc.",66.94,780112266.82,Health Care
189,ANIK,Anika Therapeutics Inc.,66.3,972075284.7,Health Care
190,ANSS,"ANSYS, Inc.",163.4,13866201288.2,Technology
191,ATRS,"Antares Pharma, Inc.",2.09,327449713.36,Health Care
192,ANTH,"Anthera Pharmaceuticals, Inc.",1.6,34360670.4,Health Care
193,APLS,"Apellis Pharmaceuticals, Inc.",16.42,826486775.84,Health Care
194,APOG,"Apogee Enterprises, Inc.",45.35,1288727548.1,Capital Goods
195,APEN,"Apollo Endosurgery, Inc.",6.3,108929186.1,Health Care
196,AINV,Apollo Investment Corporation,5.82,1271335664.28,n/a
197,AMEH,"Apollo Medical Holdings, Inc.",17.74,107034201.3,Consumer Services
198,APPF,"AppFolio, Inc.",42.85,1454632549.4,Technology
199,APPN,Appian Corporation,29.8,1797037624.8,Technology
200,AAPL,Apple Inc.,167.78,853506255680,Technology
201,ARCI,"Appliance Recycling Centers of America, Inc.",0.98,6737857.7,Consumer Services
202,APDN,Applied DNA Sciences Inc,1.57,47275929.49,Consumer Services
203,APDNW,Applied DNA Sciences Inc,0.35,0,Consumer Services
204,AGTC,Applied Genetic Technologies Corporation,4.55,82331799.55,Health Care
205,AMAT,"Applied Materials, Inc.",53.28,56132194177.44,Technology
206,AAOI,"Applied Optoelectronics, Inc.",33.49,649109409.14,Technology
207,AREX,Approach Resources Inc.,3.4,294150167,Energy
208,APTI,"Apptio, Inc.",26.17,1056966914.15,Technology
209,APRI,"Apricus Biosciences, Inc.",2.27,34539223.59,Health Care
210,APVO,Aptevo Therapeutics Inc.,3.37,72213937.16,Health Care
211,APTO,"Aptose Biosciences, Inc.",2.93,79445370.73,Health Care
212,AQMS,"Aqua Metals, Inc.",1.79,36520943.98,Basic Industries
213,AQB,"AquaBounty Technologies, Inc.",2.68,23838851.92,n/a
214,AQXP,"Aquinox Pharmaceuticals, Inc.",13.03,305748037.9,Health Care
215,ARDM,Aradigm Corporation,1.33,20147023.54,Health Care
216,ARLZ,Aralez Pharmaceuticals Inc.,1.74,114792162.18,Health Care
217,PETX,"Aratana Therapeutics, Inc.",4.67,200801654.71,Health Care
218,ABUS,Arbutus Biopharma Corporation,5.05,280537574.75,Health Care
219,ARCW,"ARC Group Worldwide, Inc.",2.05,37461634.4,Capital Goods
220,ABIO,"ARCA biopharma, Inc.",1.75,20564209.75,Health Care
221,RKDA,"Arcadia Biosciences, Inc.",5.48,584759.84,Basic Industries
222,ARCB,ArcBest Corporation,37.6,963945560,Transportation
223,ACGL,Arch Capital Group Ltd.,91.24,11940945949.76,Finance
224,ACGLO,Arch Capital Group Ltd.,24.39,0,Finance
225,ACGLP,Arch Capital Group Ltd.,23.34,0,Finance
226,APLP,"Archrock Partners, L.P.",13.87,973481845.02,Public Utilities
227,FUV,"Arcimoto, Inc.",3.21,50949123.21,Consumer Non-Durables
228,ARCT,Arcturus Therapeutics Ltd.,7.31,77258666.31,n/a
229,ARDX,"Ardelyx, Inc.",7,332744853,Health Care
230,ARNA,"Arena Pharmaceuticals, Inc.",38.79,1523025501.66,Health Care
231,ARCC,Ares Capital Corporation,16.03,6833575614.95,n/a
232,ARGX,argenx SE,75.52,542266224.64,Health Care
233,AGII,"Argo Group International Holdings, Ltd.",61.25,1817952858.75,Finance
234,AGIIL,"Argo Group International Holdings, Ltd.",25.32,0,Finance
235,ARGS,"Argos Therapeutics, Inc.",2.13,471620.34,Health Care
236,ARKR,Ark Restaurants Corp.,25.4454,87447722.7174,Consumer Services
237,ARMO,"ARMO BioSciences, Inc.",30.09,880905752.82,Health Care
238,ARTX,Arotech Corporation,3.7,97661677.6,Miscellaneous
239,ARQL,"ArQule, Inc.",1.65,143731833.3,Health Care
240,ARRY,Array BioPharma Inc.,15.34,3022400193.28,Health Care
241,ARRS,ARRIS International plc,25.79,4823277547.49,Technology
242,DWCR,Arrow DWA Country Rotation ETF,32.39,4858500,n/a
243,DWAT,Arrow DWA Tactical ETF,12.329,8630300,n/a
244,AROW,Arrow Financial Corporation,33.4,464938754.8,Finance
245,ARWR,"Arrowhead Pharmaceuticals, Inc.",6.15,533743530.9,Health Care
246,ASNS,"Arsanis, Inc.",12.7,173918664.1,Health Care
247,ARTNA,Artesian Resources Corporation,36.67,337109106.83,Public Utilities
248,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.65,11020692.8,Capital Goods
249,ASNA,"Ascena Retail Group, Inc.",2.11,413643737.46,Consumer Services
250,ASND,Ascendis Pharma A/S,50.28,1610022165,Health Care
251,ASCMA,"Ascent Capital Group, Inc.",9.08,111929150.92,Consumer Services
252,APWC,Asia Pacific Wire & Cable Corporation Limited,2.8,38695073.2,Basic Industries
253,ASML,ASML Holding N.V.,201.42,14480494495.38,Technology
254,ASPU,Aspen Group Inc.,7.72,114381102.6,Consumer Services
255,AZPN,"Aspen Technology, Inc.",77.52,5576705466,Technology
256,ASMB,"Assembly Biosciences, Inc.",45.8,796816079.8,Health Care
257,ASFI,"Asta Funding, Inc.",7.2,47691468,Finance
258,ASTE,"Astec Industries, Inc.",62.86,1450164359.28,Capital Goods
259,ATRO,Astronics Corporation,44.55,1247499168.3,Capital Goods
260,ALOT,"AstroNova, Inc.",13.4,90598726.6,Technology
261,ASTC,Astrotech Corporation,3.1,13970066.3,Capital Goods
262,ASUR,Asure Software Inc,15.01,187126968.2,Technology
263,ASV,"ASV Holdings, Inc.",8.35,81830000,Capital Goods
264,ATAI,ATA Inc.,4.76,60698391.88,Consumer Services
265,ATRA,"Atara Biotherapeutics, Inc.",35.95,1099921382.7,Health Care
266,ATHN,"athenahealth, Inc.",124.91,4998609532.99,Miscellaneous
267,ATNX,"Athenex, Inc.",14.68,851370475.52,Health Care
268,ATHX,"Athersys, Inc.",1.76,208619422.88,Health Care
269,ATAC,Atlantic Acquisition Corp.,9.82,57667920.54,Finance
270,ATACR,Atlantic Acquisition Corp.,0.49,0,Finance
271,ATACU,Atlantic Acquisition Corp.,10.2799,0,Finance
272,AAME,Atlantic American Corporation,3.75,76647791.25,Finance
273,ACBI,"Atlantic Capital Bancshares, Inc.",18.05,464393757.3,Finance
274,ACFC,Atlantic Coast Financial Corporation,10.47,162847333.23,Finance
275,AY,Atlantica Yield plc,20.98,2102558114.8,Public Utilities
276,ATLC,Atlanticus Holdings Corporation,2.28,34946027.4,Finance
277,AAWW,Atlas Air Worldwide Holdings,56.7,1433551770,Transportation
278,AFH,"Atlas Financial Holdings, Inc.",19.7,237004849.1,Finance
279,AFHBL,"Atlas Financial Holdings, Inc.",27.4398,0,Finance
280,TEAM,Atlassian Corporation Plc,53.26,12255346656.18,Technology
281,ATNI,"ATN International, Inc.",58.87,942895240.42,Public Utilities
282,ATOM,Atomera Incorporated,6.15,74787917.55,Technology
283,ATOS,Atossa Genetics Inc.,0.7088,22555958.8208,Health Care
284,ATRC,"AtriCure, Inc.",16.5,568822963.5,Health Care
285,ATRI,Atrion Corporation,567.5,1050920335,Health Care
286,ATTU,Attunity Ltd.,6.73,133282521.74,Technology
287,LIFE,"aTyr Pharma, Inc.",3.35,99690462.45,Health Care
288,AUBN,"Auburn National Bancorporation, Inc.",37.6264,137098109.6352,Finance
289,BOLD,"Audentes Therapeutics, Inc.",35.1,1047923065.8,Health Care
290,AUDC,AudioCodes Ltd.,7.68,248918753.28,Public Utilities
291,AUPH,Aurinia Pharmaceuticals Inc,5.175,434967847.65,Health Care
292,EARS,Auris Medical Holding AG,0.372,17139487.08,Health Care
293,ADSK,"Autodesk, Inc.",115.57,25456236618.54,Technology
294,ADP,"Automatic Data Processing, Inc.",120.42,53405033286.6,Technology
295,AUTO,"AutoWeb, Inc.",8.24,107506736.16,Technology
296,AVDL,Avadel Pharmaceuticals plc,10.18,418301615.76,Health Care
297,ATXI,"Avenue Therapeutics, Inc.",3.8,39007661.2,Health Care
298,AVEO,"AVEO Pharmaceuticals, Inc.",3.08,364429791.88,Health Care
299,AVXS,"AveXis, Inc.",118.77,3797839165.86,Health Care
300,AVNW,"Aviat Networks, Inc.",16.25,86421042.5,Technology
301,CDMO,"Avid Bioservices, Inc.",3.47,156888277.2,Health Care
302,CDMOP,"Avid Bioservices, Inc.",24.7,17290000,Health Care
303,AVID,"Avid Technology, Inc.",5.09,209637350.8,Technology
304,AVGR,"Avinger, Inc.",6.2695,5147259.5,Health Care
305,AVIR,"Aviragen Therapeutics, Inc.",0.593,22918997.541,Health Care
306,CAR,"Avis Budget Group, Inc.",44.75,3643614720.5,Consumer Services
307,AHPA,Avista Healthcare Public Acquisition Corp.,9.95,385562500,Health Care
308,AHPAU,Avista Healthcare Public Acquisition Corp.,10.45,0,Health Care
309,AHPAW,Avista Healthcare Public Acquisition Corp.,0.4,0,Health Care
310,AWRE,"Aware, Inc.",4.5472,98276773.7952,Technology
311,ACLS,"Axcelis Technologies, Inc.",26.35,827736976.8,Technology
312,AXGN,"AxoGen, Inc.",28.05,961023602.55,Health Care
313,AAXN,"Axon Enterprise, Inc.",25.84,1367265950.96,Capital Goods
314,AXON          ,Axovant Sciences Ltd.,2.03,218651624.8,Health Care
315,AXSM,"Axsome Therapeutics, Inc.",2.8,71273686.4,Health Care
316,AXTI,AXT Inc,7.95,309186184.8,Technology
317,AYTU,"Aytu BioScience, Inc.",2.72,11975175.36,Health Care
318,AZRX,"AzurRx BioPharma, Inc.",3.3,38326681.8,Health Care
319,BCOM,B Communications Ltd.,19.2118,574432820,Consumer Services
320,RILY,"B. Riley Financial, Inc.",18.9,500237526.6,Miscellaneous
321,RILYG,"B. Riley Financial, Inc.",25.12,0,Miscellaneous
322,RILYL,"B. Riley Financial, Inc.",25.8047,0,Miscellaneous
323,RILYZ,"B. Riley Financial, Inc.",25.1302,0,Miscellaneous
324,BOSC,B.O.S. Better Online Solutions,2.23,7216991.37,Technology
325,BIDU,"Baidu, Inc.",240.53,67525531102.6,Technology
326,BCPC,Balchem Corporation,78.71,2519053494.27,Basic Industries
327,BWINA,"Baldwin & Lyons, Inc.",23.02,346149599.14,Finance
328,BWINB,"Baldwin & Lyons, Inc.",23.1,347352551.7,Finance
329,BLDP,"Ballard Power Systems, Inc.",3.56,633903094.52,Energy
330,BANF,BancFirst Corporation,56,1786095528,Finance
331,BANFP,BancFirst Corporation,27.505,27505000,Finance
332,BCTF,"Bancorp 34, Inc.",15.05,51831026.1,Finance
333,BAND,Bandwidth Inc.,23.61,416039365.2,Technology
334,BKMU,Bank Mutual Corporation,10.4,478914394.4,Finance
335,BOCH,Bank of Commerce Holdings (CA),11.7,190377287.1,Finance
336,BMRC,Bank of Marin Bancorp,68.75,475856012.5,Finance
337,BKSC,Bank of South Carolina Corp.,19.3,96200444.7,Finance
338,BOTJ,"Bank of the James Financial Group, Inc.",15.0399,65851239.5964,Finance
339,OZRK,Bank of the Ozarks,50.56,6480822967.04,Finance
340,BFIN,BankFinancial Corporation,16.14,291317687.22,Finance
341,BWFG,"Bankwell Financial Group, Inc.",34.35,265090800.75,Finance
342,BANR,Banner Corporation,55.16,1815122650.32,Finance
343,BZUN,Baozun Inc.,38.31,1468237530.87,Consumer Services
344,TAPR,Barclays Inverse US Treasury Composite ETN,26.07,17730207,Finance
345,BHAC,Barington/Hilco Acquisition Corp.,10.53,29315941.2,Finance
346,BHACR,Barington/Hilco Acquisition Corp.,0.21,0,Finance
347,BHACU,Barington/Hilco Acquisition Corp.,10.4,0,Finance
348,BHACW,Barington/Hilco Acquisition Corp.,0.233,0,Finance
349,BBSI,"Barrett Business Services, Inc.",69.58,507959118.38,Technology
350,BSET,"Bassett Furniture Industries, Incorporated",33.95,364643064.45,Consumer Durables
351,BYBK,"Bay Bancorp, Inc.",12.75,136653084.75,Finance
352,BV,"Bazaarvoice, Inc.",5.5,473490968.5,Technology
353,BCBP,"BCB Bancorp, Inc. (NJ)",15.35,230736456.85,Finance
354,BECN,"Beacon Roofing Supply, Inc.",61.75,4197074758.5,Consumer Services
355,BSF,"Bear State Financial, Inc.",10.27,387873385.51,Finance
356,BBGI,"Beasley Broadcast Group, Inc.",13,362804000,Consumer Services
357,BBBY,Bed Bath & Beyond Inc.,22.71,3234194211.09,Consumer Services
358,BGNE,"BeiGene, Ltd.",138.92,3602468994.56,Health Care
359,BELFA,Bel Fuse Inc.,18.41,221540674.74,Capital Goods
360,BELFB,Bel Fuse Inc.,20.8,250301251.2,Capital Goods
361,BLPH,"Bellerophon Therapeutics, Inc.",2.32,128017108.16,Health Care
362,BLCM,"Bellicum Pharmaceuticals, Inc.",5.87,195208499.47,Health Care
363,BNCL,"Beneficial Bancorp, Inc.",15.8,1197069888.6,Finance
364,BNFT,"Benefitfocus, Inc.",25,781830850,Technology
365,BNTC,Benitec Biopharma Limited,3.64,6688641.96,Health Care
366,BNTCW,Benitec Biopharma Limited,0.39,0,Health Care
367,BYSI,"BeyondSpring, Inc.",26.92,614986377.04,Health Care
368,BGCP,"BGC Partners, Inc.",14.45,4173990123.6,Finance
369,BGFV,Big 5 Sporting Goods Corporation,5.75,123204462.25,Consumer Services
370,BRPA,Big Rock Partners Acquisition Corp.,9.72,0,Finance
371,BRPAR,Big Rock Partners Acquisition Corp.,0.394,0,Finance
372,BRPAU,Big Rock Partners Acquisition Corp.,10.6,0,Finance
373,BRPAW,Big Rock Partners Acquisition Corp.,0.4,0,Finance
374,BASI,"Bioanalytical Systems, Inc.",2.11,17395264.11,Health Care
375,ORPN,Bioblast Pharma Ltd.,2.95,9860059.35,Health Care
376,BIOC,"Biocept, Inc.",0.3365,10182067.0195,Health Care
377,BCRX,"BioCryst Pharmaceuticals, Inc.",4.5,442947906,Health Care
378,BDSI,"BioDelivery Sciences International, Inc.",2.3,132198974.5,Health Care
379,BIIB,Biogen Inc.,346,73171019856,Health Care
380,BKYI,"BIO-key International, Inc.",1.93,14844255.32,Technology
381,BIOL,"Biolase, Inc.",0.45,46044934.2,Health Care
382,BLFS,"BioLife Solutions, Inc.",5.33,74734179.26,Health Care
383,BLRX,BioLineRx Ltd.,1.07,84380588.41,Health Care
384,BMRN,BioMarin Pharmaceutical Inc.,92.63,16267798888.51,Health Care
385,BMRA,"Biomerica, Inc.",4.13,35274528.24,Health Care
386,BVXV,BiondVax Pharmaceuticals Ltd.,7.217,22303041.516,Health Care
